"Index","Date","Open","High","Low","Close","Volume","Adj.Close"
"262",2017-10-20,10.79,11.43,10.78,11.17,145300,11.17
"263",2017-10-23,11.21,11.75,11.06,11.15,147600,11.15
"264",2017-10-24,11.15,11.972,11.15,11.78,153400,11.78
"265",2017-10-25,11.56,11.72,10.9,10.92,161700,10.92
"266",2017-10-26,10.86,10.91,10.42,10.53,161800,10.53
"267",2017-10-27,10.63,11.11,10.3,10.62,123600,10.62
"268",2017-10-30,10.61,10.68,10.2,10.35,113400,10.35
"269",2017-10-31,10.27,10.54,10.2,10.29,104000,10.29
"270",2017-11-01,10.29,10.29,9.41,9.49,201900,9.49
"271",2017-11-02,9.28,9.31,8.12,8.3,488200,8.3
"272",2017-11-03,8.22,8.35,8.05,8.12,177300,8.12
"273",2017-11-06,8.05,8.7,8.03,8.49,275800,8.49
"274",2017-11-07,8.56,8.95,8.15,8.89,221800,8.89
"275",2017-11-08,9.25,9.56,8.947,9.36,253900,9.36
"276",2017-11-09,9.29,9.305,8.64,8.9,110900,8.9
"277",2017-11-10,9.14,9.41,8.7,9.15,107300,9.15
"278",2017-11-13,9.05,9.87,8.92,9.62,280300,9.62
"279",2017-11-14,9.5,9.5,8.15,8.26,486600,8.26
"280",2017-11-15,8.11,8.36,7.77,7.8,206700,7.8
"281",2017-11-16,7.89,8.03,7.5,7.65,208500,7.65
"282",2017-11-17,7.66,8.15,7.36,7.98,195400,7.98
"283",2017-11-20,8.11,8.238,7.75,8.2,210600,8.2
"284",2017-11-21,8.33,9.4,8.23,9.02,363500,9.02
"285",2017-11-22,9.15,9.15,8.6,8.76,158300,8.76
"286",2017-11-24,8.91,8.92,8.64,8.82,40800,8.82
"287",2017-11-27,8.78,8.83,8.32,8.4,135200,8.4
"288",2017-11-28,8.43,8.45,8.3,8.31,69700,8.31
"289",2017-11-29,8.33,8.33,7.75,7.86,238700,7.86
"290",2017-11-30,8.01,8.38,7.9,8.04,171200,8.04
"291",2017-12-01,8.02,8.13,7.679,7.74,113900,7.74
"292",2017-12-04,7.8,7.871,7.251,7.6,197500,7.6
"293",2017-12-05,7.65,7.869,7.56,7.61,117200,7.61
"294",2017-12-06,7.65,7.67,7.47,7.49,88400,7.49
"295",2017-12-07,7.51,7.6,7.32,7.43,94800,7.43
"296",2017-12-08,7.59,7.83,7.46,7.69,141700,7.69
"297",2017-12-11,8.15,8.15,7.39,7.48,144500,7.48
"298",2017-12-12,7.55,7.55,7.45,7.5,88000,7.5
"299",2017-12-13,7.51,7.55,6.8,6.96,320200,6.96
"300",2017-12-14,7,7.1,6.86,6.88,134100,6.88
"301",2017-12-15,6.95,6.95,6.69,6.69,159900,6.69
"302",2017-12-18,7.25,7.86,6.73,7.58,291500,7.58
"303",2017-12-19,7.71,7.849,7.323,7.52,171900,7.52
"304",2017-12-20,7.6,7.76,7.35,7.37,86800,7.37
"305",2017-12-21,7.45,7.7,7.3,7.38,88500,7.38
"306",2017-12-22,7.38,7.52,7.21,7.24,102400,7.24
"307",2017-12-26,7.24,7.28,7.01,7.02,79500,7.02
"308",2017-12-27,7.05,7.31,7.02,7.26,91900,7.26
"309",2017-12-28,7.3,8.2,7.25,7.68,257700,7.68
"310",2017-12-29,7.7,7.93,7.43,7.5,260600,7.5
"311",2018-01-02,7.5,7.845,7.5,7.53,78600,7.53
"312",2018-01-03,7.66,7.826,7.53,7.64,74400,7.64
"313",2018-01-04,7.75,8.11,7.66,7.91,67700,7.91
"314",2018-01-05,7.9,9.59,7.9,9.47,466500,9.47
"315",2018-01-08,9.71,9.838,8.5,9.23,284000,9.23
"316",2018-01-09,9.15,9.25,8.57,9.01,199200,9.01
"317",2018-01-10,8.73,8.73,8.25,8.4,104300,8.4
"318",2018-01-11,8.39,8.4,8.28,8.39,104600,8.39
"319",2018-01-12,8.35,8.48,8.26,8.35,188100,8.35
"320",2018-01-16,8.41,8.6,8.18,8.4,254900,8.4
"321",2018-01-17,8.5,8.8,8.1,8.21,229900,8.21
"322",2018-01-18,8.22,10.64,8.22,10.02,1001600,10.02
"323",2018-01-19,10.01,10.33,9.59,9.8,574600,9.8
"324",2018-01-22,9.91,9.99,9.31,9.64,192700,9.64
"325",2018-01-23,9.6,9.94,9.31,9.59,163500,9.59
"326",2018-01-24,9.59,9.869,9.3,9.59,153100,9.59
"327",2018-01-25,9.68,10.28,9.59,10.22,175400,10.22
"328",2018-01-26,10.35,11.478,10.15,10.66,457400,10.66
"329",2018-01-29,10.49,10.49,9.49,9.76,234500,9.76
"330",2018-01-30,9.54,10.18,9.49,9.59,232000,9.59
"331",2018-01-31,9.75,9.99,9.21,9.44,207600,9.44
"332",2018-02-01,9.44,9.62,8.925,9.07,100700,9.07
"333",2018-02-02,8.9,8.9,8.31,8.64,151700,8.64
"334",2018-02-05,8.37,8.8,8.26,8.4,120100,8.4
"335",2018-02-06,8.1,8.59,8,8.53,137000,8.53
"336",2018-02-07,8.64,9.089,8.41,8.68,58300,8.68
"337",2018-02-08,7.43,7.5,6.4,6.96,2065600,6.96
"338",2018-02-09,7.05,7.35,6.701,7.14,244200,7.14
"339",2018-02-12,7.27,7.49,7,7.32,214300,7.32
"340",2018-02-13,7.35,7.45,6.95,7.24,139000,7.24
"341",2018-02-14,7.69,7.9,7.2,7.73,255300,7.73
